gcid                 end                  start                valid                duration             blocknum            
202                  23579320000.0        23569300000.0        0.01171875           10020000.0           1423                
203                  23580820000.0        23569300000.0        0.01171875           11520000.0           1444                
204                  23581380000.0        23576320000.0        0.01171875           5060000.0            1979                
205                  23582880000.0        23577700000.0        0.01171875           5180000.0            1980                
206                  23584400000.0        23575480000.0        0.01171875           8920000.0            1977                
207                  23586120000.0        23573980000.0        0.01171875           12140000.0           1918                
208                  23588280000.0        23586120000.0        0.01171875           2160000.0            1983                
209                  23588400000.0        23586120000.0        0.01171875           2280000.0            2342                
210                  23588460000.0        23586120000.0        0.01171875           2340000.0            2883                
211                  23589900000.0        23586120000.0        0.01171875           3780000.0            2484                
212                  23589960000.0        23586120000.0        0.01171875           3840000.0            2774                
213                  23591400000.0        23586120000.0        0.01171875           5280000.0            2369                
214                  23591460000.0        23586120000.0        0.01171875           5340000.0            2776                
215                  23592120000.0        23589960000.0        0.01171875           2160000.0            3333                
216                  23592960000.0        23586120000.0        0.01171875           6840000.0            2906                
217                  23594080000.0        23588460000.0        0.01171875           5620000.0            3273                
218                  23595340000.0        23588280000.0        0.01171875           7060000.0            2923                
219                  23595880000.0        23591460000.0        0.01171875           4420000.0            3524                
220                  23596840000.0        23588400000.0        0.01171875           8440000.0            2975                
221                  23597380000.0        23591400000.0        0.01171875           5980000.0            3358                
222                  23598880000.0        23589900000.0        0.01171875           8980000.0            3290                
223                  23600600000.0        23592120000.0        0.01171875           8480000.0            3542                
224                  23603180000.0        23600600000.0        0.01171875           2580000.0            3741                
225                  23604680000.0        23600600000.0        0.01171875           4080000.0            3811                
226                  23606180000.0        23600600000.0        0.01171875           5580000.0            3828                
227                  23607680000.0        23600600000.0        0.01171875           7080000.0            3839                
228                  23609180000.0        23600600000.0        0.01171875           8580000.0            3841                
229                  23610680000.0        23600600000.0        0.01171875           10080000.0           3857                
230                  23612180000.0        23600600000.0        0.01171875           11580000.0           3868                
231                  23613060000.0        23610680000.0        0.015625             2380000.0            166                 
232                  23613680000.0        23600600000.0        0.01171875           13080000.0           3883                
233                  23615680000.0        23613060000.0        0.015625             2620000.0            176                 
234                  23616200000.0        23603180000.0        0.01171875           13020000.0           3914                
235                  23617620000.0        23612180000.0        0.015625             5440000.0            174                 
236                  23617700000.0        23606180000.0        0.01171875           11520000.0           4008                
237                  23619200000.0        23607680000.0        0.01171875           11520000.0           4045                
238                  23620700000.0        23609180000.0        0.01171875           11520000.0           4048                
239                  23622200000.0        23604680000.0        0.01171875           17520000.0           3935                
240                  23625140000.0        23622200000.0        0.015625             2940000.0            184                 
241                  23626640000.0        23622200000.0        0.015625             4440000.0            190                 
242                  23628140000.0        23622200000.0        0.015625             5940000.0            304                 
243                  23629640000.0        23622200000.0        0.015625             7440000.0            230                 
244                  23631140000.0        23622200000.0        0.015625             8940000.0            269                 
245                  23632640000.0        23622200000.0        0.015625             10440000.0           293                 
246                  23634140000.0        23622200000.0        0.015625             11940000.0           301                 
247                  23635640000.0        23622200000.0        0.015625             13440000.0           308                 
248                  23638580000.0        23625140000.0        0.015625             13440000.0           369                 
249                  23640080000.0        23626640000.0        0.015625             13440000.0           384                 
250                  23641580000.0        23634140000.0        0.015625             7440000.0            434                 
251                  23643080000.0        23628140000.0        0.015625             14940000.0           386                 
252                  23644580000.0        23629640000.0        0.015625             14940000.0           401                 
253                  23646080000.0        23631140000.0        0.015625             14940000.0           426                 
254                  23647580000.0        23632640000.0        0.015625             14940000.0           433                 
255                  23649080000.0        23635640000.0        0.015625             13440000.0           435                 
256                  23651760000.0        23649080000.0        0.015625             2680000.0            450                 
257                  23651860000.0        23649080000.0        0.015625             2780000.0            689                 
258                  23653260000.0        23649080000.0        0.015625             4180000.0            465                 
259                  23653360000.0        23649080000.0        0.015625             4280000.0            728                 
260                  23654860000.0        23649080000.0        0.015625             5780000.0            757                 
261                  23656360000.0        23649080000.0        0.015625             7280000.0            768                 
262                  23657860000.0        23649080000.0        0.015625             8780000.0            773                 
263                  23659360000.0        23649080000.0        0.015625             10280000.0           777                 
264                  23662300000.0        23651760000.0        0.015625             10540000.0           807                 
265                  23663800000.0        23651860000.0        0.015625             11940000.0           808                 
266                  23665300000.0        23653260000.0        0.015625             12040000.0           817                 
267                  23666800000.0        23653360000.0        0.015625             13440000.0           820                 
268                  23668300000.0        23654860000.0        0.015625             13440000.0           834                 
269                  23669800000.0        23656360000.0        0.015625             13440000.0           836                 
270                  23671300000.0        23657860000.0        0.015625             13440000.0           854                 
271                  23672800000.0        23659360000.0        0.015625             13440000.0           860                 
272                  23675740000.0        23672800000.0        0.015625             2940000.0            878                 
273                  23677240000.0        23672800000.0        0.015625             4440000.0            929                 
274                  23678740000.0        23672800000.0        0.015625             5940000.0            933                 
275                  23679620000.0        23677240000.0        0.015625             2380000.0            1174                
276                  23680240000.0        23672800000.0        0.015625             7440000.0            941                 
277                  23681740000.0        23672800000.0        0.015625             8940000.0            944                 
278                  23682020000.0        23678740000.0        0.015625             3280000.0            1178                
279                  23683240000.0        23672800000.0        0.015625             10440000.0           957                 
280                  23684440000.0        23681740000.0        0.015625             2700000.0            1232                
281                  23684740000.0        23672800000.0        0.015625             11940000.0           961                 
282                  23685940000.0        23682020000.0        0.015625             3920000.0            1248                
283                  23686240000.0        23672800000.0        0.015625             13440000.0           975                 
284                  23687940000.0        23675740000.0        0.015625             12200000.0           1173                
285                  23689460000.0        23680240000.0        0.015625             9220000.0            1214                
286                  23691400000.0        23679620000.0        0.015625             11780000.0           1194                
287                  23692900000.0        23683240000.0        0.015625             9660000.0            1258                
288                  23695840000.0        23692900000.0        0.015625             2940000.0            1265                
289                  23697340000.0        23692900000.0        0.015625             4440000.0            1290                
290                  23698840000.0        23692900000.0        0.015625             5940000.0            1303                
291                  23700340000.0        23692900000.0        0.015625             7440000.0            1320                
292                  23701840000.0        23692900000.0        0.015625             8940000.0            1327                
293                  23703340000.0        23692900000.0        0.015625             10440000.0           1333                
294                  23704840000.0        23692900000.0        0.015625             11940000.0           1324                
295                  23706340000.0        23692900000.0        0.015625             13440000.0           1335                
296                  23709280000.0        23695840000.0        0.015625             13440000.0           1344                
297                  23710780000.0        23697340000.0        0.015625             13440000.0           1348                
298                  23712280000.0        23698840000.0        0.015625             13440000.0           1359                
299                  23713780000.0        23700340000.0        0.015625             13440000.0           1367                
300                  23715280000.0        23703340000.0        0.015625             11940000.0           1385                
301                  23716780000.0        23704840000.0        0.015625             11940000.0           1390                
302                  23718280000.0        23701840000.0        0.015625             16440000.0           1374                
303                  23719780000.0        23706340000.0        0.015625             13440000.0           1392                
304                  23722420000.0        23719780000.0        0.015625             2640000.0            1417                
305                  23722480000.0        23719780000.0        0.015625             2700000.0            1685                
306                  23723920000.0        23719780000.0        0.015625             4140000.0            1440                
307                  23723980000.0        23719780000.0        0.015625             4200000.0            1691                
308                  23725420000.0        23719780000.0        0.015625             5640000.0            1467                
309                  23725480000.0        23719780000.0        0.015625             5700000.0            1700                
310                  23726980000.0        23719780000.0        0.015625             7200000.0            1709                
311                  23728480000.0        23719780000.0        0.015625             8700000.0            1711                
312                  23731420000.0        23722420000.0        0.015625             9000000.0            1725                
313                  23732920000.0        23722480000.0        0.015625             10440000.0           1744                
314                  23734420000.0        23723920000.0        0.015625             10500000.0           1773                
315                  23735920000.0        23723980000.0        0.015625             11940000.0           1782                
316                  23737420000.0        23725420000.0        0.015625             12000000.0           1806                
317                  23738920000.0        23725480000.0        0.015625             13440000.0           1817                
318                  23740420000.0        23726980000.0        0.015625             13440000.0           1837                
319                  23741920000.0        23728480000.0        0.015625             13440000.0           1844                
320                  23744860000.0        23741920000.0        0.015625             2940000.0            1853                
321                  23746360000.0        23741920000.0        0.015625             4440000.0            1856                
322                  23747860000.0        23741920000.0        0.015625             5940000.0            1858                
323                  23749360000.0        23741920000.0        0.015625             7440000.0            1864                
324                  23750860000.0        23741920000.0        0.015625             8940000.0            1871                
325                  23752360000.0        23741920000.0        0.015625             10440000.0           1898                
326                  23753860000.0        23741920000.0        0.015625             11940000.0           1905                
327                  23755360000.0        23741920000.0        0.015625             13440000.0           1908                
328                  23756240000.0        23753860000.0        0.015625             2380000.0            2197                
329                  23757980000.0        23744860000.0        0.015625             13120000.0           1910                
330                  23759020000.0        23755360000.0        0.015625             3660000.0            2212                
331                  23759480000.0        23749360000.0        0.015625             10120000.0           1967                
332                  23761020000.0        23746360000.0        0.015625             14660000.0           1915                
333                  23762520000.0        23750860000.0        0.015625             11660000.0           1987                
334                  23764280000.0        23752360000.0        0.015625             11920000.0           2004                
335                  23765780000.0        23747860000.0        0.015625             17920000.0           1934                
336                  23768720000.0        23765780000.0        0.015625             2940000.0            2218                
337                  23770220000.0        23765780000.0        0.015625             4440000.0            2224                
338                  23771720000.0        23765780000.0        0.015625             5940000.0            2226                
339                  23773220000.0        23765780000.0        0.015625             7440000.0            2278                
340                  23774720000.0        23765780000.0        0.015625             8940000.0            2299                
341                  23776220000.0        23765780000.0        0.015625             10440000.0           2335                
342                  23777720000.0        23765780000.0        0.015625             11940000.0           2343                
343                  23779220000.0        23765780000.0        0.015625             13440000.0           2357                
344                  23782160000.0        23768720000.0        0.015625             13440000.0           2370                
345                  23783660000.0        23770220000.0        0.015625             13440000.0           2397                
346                  23785160000.0        23771720000.0        0.015625             13440000.0           2398                
347                  23786660000.0        23773220000.0        0.015625             13440000.0           2421                
348                  23788160000.0        23774720000.0        0.015625             13440000.0           2431                
349                  23789660000.0        23776220000.0        0.015625             13440000.0           2440                
350                  23791160000.0        23777720000.0        0.015625             13440000.0           2453                
351                  23792660000.0        23779220000.0        0.015625             13440000.0           2457                
352                  23795420000.0        23792660000.0        0.015625             2760000.0            2459                
353                  23795440000.0        23792660000.0        0.015625             2780000.0            2719                
354                  23796920000.0        23792660000.0        0.015625             4260000.0            2482                
355                  23796940000.0        23792660000.0        0.015625             4280000.0            2737                
356                  23798440000.0        23792660000.0        0.015625             5780000.0            2767                
